Username,Password,userid,Name,Email,Phonenumber
AChallman,1234,966557,Andy Challman,challman@gmail.com,5708985674
BChallman,4321,771785,Andy Challman,challman@gmail.com,5708987745
BTerry,2345,808078,Bryan T,fdhjsakfdhjsa,fdsafds
CChallman,9876,352306,dsadSA dsadSA,DSAdsa,dsads
,1234,213111,Boliver,Shagnasty@yahoo.com,1234567890
,null,null,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
,1234,394571,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
,1234,861355,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
,1234,256661,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
,1234,310548,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
BShagnasty,1234,646819,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
BShagnasty2,1234,515247,Boliver M. Shagnasty,Shagnasty@yahoo.com,1234567890
BShagnasty,1234,454729,Boliver M.,Shagnasty,Shagnasty@yahoo.com
BShagnasty,1234,506500,BoliverMShagnasty BoliverM.Shagnasty,Shagnasty@yahoo.com,1234567890
BS,1,215937,Boliver M.,Shagnasty,1234567890
bs,1,482073,BMS BMS,Shagnasty@yahoo.com,123
bs,12,114972,12 bs,bs@y.com,12
1,3,640640,4 f,f,3
g,g,257524,g g,g,g
g,h,488993,b g,g,g
g,g,333068,g g,g,g
BShagnasty,1234,636139,Boliver,M.,Shagnasty
BShagnasty,1234,698844,Boliver,Shagnasty@yahoo.com,1234567890
BShagnasty2,1234,570372,Boliver,M,Shagnasty
BShagnasty3,1234,643154,BoliverShagnasty,Shagnasty@yahoo.com,2
AChallman,1234,963281,Andy Challman,challmana@gmail.com,5708987734
